id,nivel,categoria,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion_breve
FAC-01,Fácil,Música,"En muchas orquestas típicas clásicas, el sonido del tango se apoyaba en una combinación muy reconocible de fueyes, cuerdas y base rítmica. ¿Cuál de estas opciones representa mejor ese núcleo instrumental tradicional?","Bandoneones, violines, piano y contrabajo","Flauta, trompeta, bombo y guitarra eléctrica","Arpa, oboe, timbal y cello","Saxo, batería, bajo eléctrico y teclado",A,"La formación tradicional de la orquesta típica se apoya en bandoneones, violines, piano y contrabajo."
FAC-02,Fácil,Música,Hay un instrumento cuyo sonido quedó tan unido al tango que hoy resulta casi imposible pensar el género sin él. ¿Cuál es?,Piano,Violín,Bandoneón,Clarinete,C,El bandoneón es el instrumento más emblemático del tango argentino.
FAC-03,Fácil,Baile,"En el Tango de Pista, lo central no es una coreografía fija sino el baile social compartido con otra persona y en convivencia con otras parejas. ¿Qué se valora especialmente en este estilo?","Saltos, acrobacias y trucos espectaculares","Improvisación, abrazo y conexión de la pareja",Velocidad y cantidad de giros,Vestuario y postura teatral,B,"En el Tango de Pista se valora la improvisación, el abrazo y la conexión de la pareja."
FAC-04,Fácil,Baile,"En una pista con varias parejas bailando, la ronda no funciona de cualquier manera: hay una lógica de circulación para cuidar el espacio y evitar choques. ¿Cuál de estas opciones describe mejor esa regla?",Cada pareja puede moverse en cualquier dirección,Hay que avanzar en el sentido de las agujas del reloj,"Se circula en sentido contrario a las agujas del reloj, sin retroceder",Conviene quedarse casi en el mismo lugar haciendo figuras grandes,C,La ronda se desplaza en sentido contrario a las agujas del reloj para ordenar la circulación en pista.
FAC-05,Fácil,Orquestas,"Dentro de la historia del tango, hubo un director cuya orquesta quedó asociada a un pulso firme, marcado y muy bailable. Por eso se lo recuerda con un apodo muy famoso: “El Rey del Compás”. ¿Quién fue?",Julio De Caro,Aníbal Troilo,Juan D’Arienzo,Osvaldo Pugliese,C,Juan D’Arienzo fue conocido como “El Rey del Compás”.
FAC-06,Fácil,Orquestas / Música,"Algunas obras quedaron tan identificadas con una orquesta que casi funcionan como su sello sonoro. “La Yumba”, por ejemplo, terminó siendo algo así como un himno dentro de una de las grandes agrupaciones del tango. ¿De qué director y compositor estamos hablando?",Carlos Di Sarli,Osvaldo Pugliese,Alfredo De Angelis,Miguel Caló,B,“La Yumba” es una obra emblemática de Osvaldo Pugliese.
FAC-07,Fácil,Cantores / Historia,"En Argentina, el 11 de diciembre se celebra el Día Nacional del Tango. La fecha fue elegida porque coincide con el nacimiento de dos figuras fundamentales del género. ¿Cuáles son?",Carlos Gardel y Julio De Caro,Aníbal Troilo y Astor Piazzolla,Osvaldo Pugliese y Juan D’Arienzo,Enrique Santos Discépolo y Edmundo Rivero,A,El Día Nacional del Tango se celebra el 11 de diciembre por los nacimientos de Carlos Gardel y Julio De Caro.
FAC-08,Fácil,Cantores,"Carlos Gardel fue una figura enorme del tango y del espectáculo rioplatense. Además de su nombre artístico, quedó en la memoria popular por varios sobrenombres. ¿Cuál de estas opciones reúne dos apodos asociados a Gardel?",El Polaco y El Mudo,El Rey del Compás y Pichuco,El Morocho del Abasto y El Zorzal Criollo,El Varón del Tango y El Fueye Mayor,C,"Carlos Gardel fue recordado, entre otros apodos, como “El Morocho del Abasto” y “El Zorzal Criollo”."
FAC-09,Fácil,Cantores / Orquestas,"Aníbal Troilo fue bandoneonista, director y compositor, y su figura es una de las más queridas de toda la historia del tango. ¿Con qué apodo se lo recuerda habitualmente?",Ciriaco,Pichuco,El Tata,El Polaco,B,Aníbal Troilo fue conocido popularmente como “Pichuco”.
FAC-10,Fácil,Cantores / Orquestas,"Cuando Aníbal Troilo debutó con su orquesta en 1937 en el cabaret Marabú, ya contaba con un cantor que fue clave en su primera etapa. ¿Quién era ese cantante?",Edmundo Rivero,Roberto Goyeneche,Francisco Fiorentino,Alberto Castillo,C,Francisco Fiorentino fue el cantor de la primera etapa de la orquesta de Troilo.
